一网打尽 (yi1,wang3,da3,jin4)
顽皮赖骨 (wan2,pi2,lai4,gu3)
妖女 (yao1,nv3)
善财难舍 (shan4,cai2,nan2,she3)
岁寒知松柏 (sui4,han2,zhi1,song1,bai3)
太子港 (tai4,zi3,gang3)
女巫 (nv3,wu1)
亲如骨肉 (qin1,ru2,gu3,rou4)
女工 (nv3,gong1)
咽苦吐甘 (yan4,ku3,tu3,gan1)
骨碌 (gu1,lu4)
不敢越雷池一步 (bu4,gan3,yue4,lei2,chi2,yi1,bu4)
妖娆 (yao1,rao2)
切中要害 (qie1,zhong1,yao4,hai4)
日堙月塞 (ri4,yin1,yue4,sai1)
博采众长 (bo2,cai3,zhong4,chang2)
扫眉才子 (sao3,mei2,cai2,zi3)
血淋淋 (xie3,lin2,lin2)
家庭妇女 (jia1,ting2,fu4,nv3)
言无不尽 (yan2,wu2,bu4,jin4)
犟劲 (jiang4,jin4)
女弟 (nv3,di4)
粘合剂 (nian2,he2,ji4)
咽苦吞甘 (yan4,ku3,tun1,gan1)
骨科 (gu3,ke1)
粉身碎骨 (fen3,shen1,sui4,gu3)
胆丧魂惊 (dan3,sang4,hun2,jing1)
识明智审 (shi2,ming2,zhi4,shen3)
绿蓑青笠 (lv4,suo1,qing1,li4)
枯骨生肉 (ku1,gu3,sheng1,rou4)
自禁 (zi4,jin1)
条分缕析 (tiao2,fen1,lv3,xi1)
勇冠三军 (yong3,guan4,san1,jun1)
经纶济世 (jing1,lun2,ji4,shi4)
洗心换骨 (xi3,xin1,huan4,gu3)
女性 (nv3,xing4)
稽查 (ji1,cha2)
顽皮贼骨 (wan2,pi2,zei2,gu3)
食子徇君 (shi2,zi3,xun4,jun1)
煞笔 (sha1,bi3)
癞蛤蟆 (lai4,ha2,ma2)
漫山塞野 (man4,shan1,sai1,ye3)
白毛女 (bai2,mao2,nv3)
较长絜短 (jiao4,chang2,xie2,duan3)
把臂徐去 (ba3,bi4,xu2,qu4)
一山不藏二虎 (yi1,shan1,bu4,cang2,er4,hu3)
骑驴风雪中 (qi2,lv2,feng1,xue3,zhong1)
松柏之寿 (song1,bai3,zhi1,shou4)
气吁吁 (qi4,xu1,xu1)
情至意尽 (qing2,zhi4,yi4,jin4)
忠骨 (zhong1,gu3)
发上指冠 (fa4,shang4,zhi3,guan1)
骨粉 (gu3,fen3)
男女有别 (nan2,nv3,you3,bie2)
笔供 (bi3,gong4)
风流才子 (feng1,liu2,cai2,zi3)
胫骨 (jing4,gu3)
重载 (zhong4,zai4)
冲劲 (chong4,jin4)
养女 (yang3,nv3)
胯骨 (kua4,gu3)
一长串 (yi1,chang2,chuan4)
识字班 (shi2,zi4,ban1)
一长两短 (yi1,chang2,liang3,duan3)
臂腕 (bi4,wan4)
乙种粒子 (yi3,zhong3,li4,zi3)
火妻灰子 (huo3,qi1,hui1,zi3)
臂膊 (bi4,bo2)
黄冠草服 (huang2,guan4,cao3,fu2)
胸骨 (xiong1,gu3)
女博士 (nv3,bo2,shi4)
枸杞子 (gou3,qi3,zi3)
妻子 (qi1,zi3)
唯妙唯肖 (wei2,miao4,wei2,xiao1)
金童玉女 (jin1,tong2,yu4,nv3)
长目飞耳 (chang2,mu4,fei1,er3)
浓荫蔽日 (nong2,yin1,bi4,ri4)
不吝赐教 (bu4,lin4,ci4,jiao4)
前功尽弃 (qian2,gong1,jin4,qi4)
美女簪花 (mei3,nv3,zan1,hua1)
差强人意 (cha1,qiang2,ren2,yi4)
名我固当 (ming2,wo3,gu4,dang1)
出勤率 (chu1,qin2,lv4)
粉骨碎身 (fen3,gu3,sui4,shen1)
数短论长 (shu3,duan3,lun4,chang2)
调和阴阳 (tiao2,he2,yin1,yang2)
前功尽废 (qian2,gong1,jin4,fei4)
烹调 (peng1,tiao2)
松柏之志 (song1,bai3,zhi1,zhi4)
伤筋动骨 (shang1,jin1,dong4,gu3)
见识 (jian4,shi2)
概率 (gai4,lv4)
吵吵闹闹 (chao1,chao5,nao4,nao4)
内子 (nei4,zi3)
脆骨 (cui4,gu3)
尽其所能 (jin4,qi2,suo3,neng2)
去太去甚 (qu4,tai5,qu4,shen4)
女方 (nv3,fang1)
脊骨 (ji3,gu3)
骨肉 (gu3,rou4)
一长二短 (yi1,chang2,er4,duan3)
童女 (tong2,nv3)
一岁载赦 (yi1,sui4,zai4,she4)
戏子 (xi4,zi3)
税率 (shui4,lv4)
墨绿 (mo4,lv4)
骨胶 (gu3,jiao1)
靡知所措 (mi2,zhi1,suo3,cuo4)
郎才女貌 (lang2,cai2,nv3,mao4)
行藏用舍 (xing2,cang2,yong4,she3)
识二五而不知十 (shi2,er4,wu3,er2,bu4,zhi1,shi2)
狠劲 (hen3,jin4)
骨膜 (gu3,mo2)
姣好 (jiao1,hao3)
深见远虑 (shen1,jian4,yuan3,lv4)
骨软筋酥 (gu3,ruan3,jin1,su1)
切理会心 (qie1,li3,hui4,xin1)
横挑鼻子竖挑眼 (heng2,tiao1,bi2,zi5,shu4,tiao1,yan3)
侯门 (hou2,men2)
女权 (nv3,quan2)
打呃 (da3,e5)
补骨脂 (bu3,gu3,zhi1)
长途跋涉 (chang2,tu2,ba2,she4)
星期日 (xing1,qi1,ri4)
棋高一着 (qi2,gao1,yi1,zhao1)
姥姥 (lao3,lao5)
骨节 (gu3,jie2)
鹤骨龙筋 (he4,gu3,long2,jin1)
卖李钻核 (mai4,li3,zuan1,he2)
螫手解腕 (shi4,shou3,jie3,wan3)
稔恶藏奸 (ren3,e4,cang2,jian1)
塞规 (sai1,gui1)
调嘴学舌 (tiao2,zui3,xue2,she2)
骨鲠之臣 (gu3,geng3,zhi1,chen2)
费尽心机 (fei4,jin4,xin1,ji1)
与世长辞 (yu3,shi4,chang2,ci2)
诘屈謷牙 (ji2,qu1,ao2,ya2)
一无是处 (yi1,wu2,shi4,chu4)
抱关执钥 (bao4,guan1,zhi2,yue4)
五男二女 (wu3,nan2,er4,nv3)
冠子 (guan4,zi5)
度长絜大 (du4,chang2,xie2,da4)
夜长梦短 (ye4,chang2,meng4,duan3)
交臂历指 (jiao1,bi4,li4,zhi3)
帮闲钻懒 (bang1,xian2,zuan1,lan3)
一鳞片爪 (yi1,lin2,pian4,zhao3)
竹柏异心 (zhu2,bai3,yi4,xin1)
鸿爪留泥 (hong2,zhao3,liu2,ni2)
恶迹 (e4,ji4)
狼餐虎咽 (lang2,can1,hu3,yan4)
大雨滂沱 (da4,yu3,pang1,tuo2)
滔滔不尽 (tao1,tao1,bu4,jin4)
调神畅情 (tiao2,shen2,chang4,qing2)
桡骨 (rao2,gu3)
解调 (jie3,tiao2)
骨董 (gu3,dong3)
叔度陂湖 (shu1,du4,bei1,hu2)
竭尽 (jie2,jin4)
侠骨 (xia2,gu3)
不识泰山 (bu4,shi2,tai4,shan1)
识别 (shi2,bie2)
隐介藏形 (yin3,jie4,cang2,xing2)
丰草长林 (feng1,cao3,chang2,lin2)
至矣尽矣 (zhi4,yi3,jin4,yi3)
单口相声 (dan1,kou3,xiang4,sheng5)
生闷气 (sheng1,men1,qi4)
泰山盘石 (tai5,shan1,pan2,shi2)
魂耗魄丧 (hun2,hao4,po4,sang4)
军帖 (jun1,tie3)
弸中彪外 (peng2,zhong1,biao1,wai4)
东家西舍 (dong1,jia1,xi1,she3)
独当一面 (du2,dang1,yi1,mian4)
切入 (qie1,ru4)
大红大绿 (da4,hong2,da4,lv4)
诗兴 (shi1,xing4)
竞短争长 (jing4,duan3,zheng1,chang2)
抱令守律 (bao4,ling4,shou3,lv4)
外相 (wai4,xiang1)
漫藏诲盗 (man4,cang2,hui4,dao4)
才女 (cai2,nv3)
娇娆 (jiao1,rao2)
雄才大略 (xiong2,cai2,da4,lve4)
长辔远驭 (chang2,pei4,yuan3,yu4)
切切 (qie1,qie1)
金尽裘弊 (jin1,jin4,qiu2,bi4)
丧师辱国 (sang4,shi1,ru3,guo2)
大略 (da4,lve4)
细水长流 (xi4,shui3,chang2,liu2)
魔爪 (mo2,zhao3)
心惊胆颤 (xin1,jing1,dan3,chan4)
意识形态 (yi4,shi2,xing2,tai4)
长虑顾后 (chang2,lv4,gu4,hou4)
倒转 (dao4,zhuan3)
朴实无华 (pu3,shi2,wu2,hua2)
从一而终 (cong2,yi1,er2,zhong1)
挑幺挑六 (tiao1,yao1,tiao1,liu4)
切勿 (qie1,wu4)
一男半女 (yi1,nan2,ban4,nv3)
诱供 (you4,gong4)
识微见远 (shi2,wei1,jian4,yuan3)
魂不附体 (hun2,bu4,fu4,ti3)
骏骨牵盐 (jun4,gu3,qian1,yan2)
女流 (nv3,liu2)
划划 (hua2,hua2)
水晶灯笼 (shui3,jing1,deng1,long2)
笼中之鸟 (long2,zhong1,zhi1,niao3)
诈哑佯聋 (zha4,ya3,yang2,long2)
谁个 (shui2,ge4)
手不释卷 (shou3,bu4,shi4,juan4)
净尽 (jing4,jin4)
沉思熟虑 (chen2,si1,shu2,lv4)
坐骨神经 (zuo4,gu3,shen2,jing1)
诸侯 (zhu1,hou2)
切口 (qie1,kou3)
切变 (qie1,bian4)
下意识 (xia4,yi4,shi2)
竭忠尽智 (jie2,zhong1,jin4,zhi4)
乌骨鸡 (wu1,gu3,ji1)
挑三检四 (tiao1,san1,jian3,si4)
种草 (zhong3,cao3)
好景不长 (hao3,jing3,bu4,chang2)
节略 (jie2,lve4)
调价 (tiao2,jia4)
不翼而飞 (bu4,yi4,er2,fei1)
修长 (xiu1,chang2)
长治久安 (chang2,zhi4,jiu3,an1)
腓骨 (fei2,gu3)
苹果 (ping2,guo3)
腕骨 (wan4,gu3)
独女 (du2,nv3)
香培玉琢 (xiang1,pei2,yu4,zhuo2)
谈笑封侯 (tan2,xiao4,feng1,hou2)
私藏 (si1,cang2)
有两下子 (you3,liang3,xia4,zi3)
省略号 (sheng3,lve4,hao4)
安身之处 (an1,shen1,zhi1,chu4)
魂惊胆颤 (hun2,jing1,dan3,chan4)
内柔外刚 (nei4,rou2,wai5,gang1)
意兴盎然 (yi4,xing4,ang4,ran2)
不卑不亢 (bu4,bei1,bu4,kang4)
腊尽春回 (la4,jin4,chun1,hui2)
高低杠 (gao1,di1,gang4)
率尔操觚 (shuai4,er2,cao1,gu1)
藏弓烹狗 (cang2,gong1,peng1,gou3)
一家子 (yi1,jia1,zi3)
撞头搕脑 (zhuang4,tou2,ke1,nao3)
予取予携 (yu2,qu3,yu2,xie2)
时亨运泰 (shi2,heng1,yun4,tai5)
哪门子 (na3,men2,zi3)
调光 (tiao2,guang1)
刮削 (gua1,xiao1)
过屠门而大嚼 (guo4,tu2,men2,er2,da4,jue2)
见经识经 (jian4,jing1,shi2,jing1)
毛利率 (mao2,li4,lv4)
倾箱倒箧 (qing1,xiang1,dao4,qie4)
父慈子孝 (fu4,ci2,zi3,xiao4)
出处 (chu1,chu4)
长篇大论 (chang2,pian1,da4,lun4)
胆颤心惊 (dan3,chan4,xin1,jing1)
拖男带女 (tuo1,nan2,dai4,nv3)
谈兴 (tan2,xing4)
立柜 (li4,gui4)
天下一家 (tian1,xia4,yi1,jia1)
调剂 (tiao2,ji4)
稠糊 (chou2,hu1)
干名犯义 (gan1,ming2,fan4,yi4)
启瞶振聋 (qi3,gui4,zhen4,long2)
女中尧舜 (nv3,zhong1,yao2,shun4)
论黄数黑 (lun4,huang2,shu3,hei1)
炮筒子 (pao4,tong3,zi3)
村生泊长 (cun1,sheng1,bo2,chang2)
扒开 (ba1,kai1)
秘藏 (mi4,cang2)
招女婿 (zhao1,nv3,xu4)
刻划 (ke4,hua2)
讨便宜 (tao3,pian2,yi2)
识文谈字 (shi2,wen2,tan2,zi4)
长虑后顾 (chang2,lv4,hou4,gu4)
调协 (tiao2,xie2)
鉴识 (jian4,shi2)
刨根问底 (pao2,gen1,wen4,di3)
剀切 (kai3,qie1)
螳螂奋臂 (tang2,lang2,fen4,bi4)
油干灯草尽 (you2,gan1,deng1,cao3,jin4)
过河卒子 (guo4,he2,zu2,zi3)
绿衣黄里 (lv4,yi1,huang2,li3)
讥弹 (ji1,tan2)
排忧解难 (pai2,you1,jie3,nan4)
识字 (shi2,zi4)
山长水阔 (shan1,chang2,shui3,kuo4)
竭尽全力 (jie2,jin4,quan2,li4)
女王 (nv3,wang2)
调合 (tiao2,he2)
铄金毁骨 (shuo4,jin1,hui3,gu3)
板上钉钉 (ban3,shang4,ding4,ding1)
女厕所 (nv3,ce4,suo3)
积蓄 (ji1,xu4)
量子力学 (liang4,zi3,li4,xue2)
调和 (tiao2,he2)
长舌妇 (chang2,she2,fu4)
储蓄 (chu3,xu4)
不绝如缕 (bu4,jue2,ru2,lv3)
解难 (jie3,nan2)
痱子粉 (fei4,zi3,fen3)
甩手掌柜 (shuai3,shou3,zhang3,gui4)
丹之所藏者赤 (dan1,zhi1,suo3,cang2,zhe3,chi4)
酒吧间 (jiu3,ba1,jian1)
气急败丧 (qi4,ji2,bai4,sang4)
调唆 (tiao2,suo1)
千丝万缕 (qian1,si1,wan4,lv3)
踵迹相接 (zhong3,ji4,xiang1,jie1)
煞车 (sha1,che1)
电冰柜 (dian4,bing1,gui4)
分子 (fen4,zi3)
女生 (nv3,sheng1)
一见钟情 (yi1,jian4,zhong1,qing2)
定冠词 (ding4,guan4,ci2)
储藏 (chu3,cang2)
粉骨捐躯 (fen3,gu3,juan1,qu1)
矢尽兵穷 (shi3,jin4,bing1,qiong2)
长嘘短叹 (chang2,xu1,duan3,tan4)
金尽裘敝 (jin1,jin4,qiu2,bi4)
莫衷一是 (mo4,zhong1,yi1,shi4)
日乾夕惕 (ri4,qian2,xi1,ti4)
埋声晦迹 (mai2,sheng1,hui4,ji4)
鸟尽弓藏 (niao3,jin4,gong1,cang2)
分丝析缕 (fen1,si1,xi1,lv3)
长颈鹿 (chang2,jing3,lu4)
内切圆 (nei4,qie1,yuan2)
随声附和 (sui2,sheng1,fu4,he4)
切屑 (qie1,xie4)
薄唇轻言 (bao2,chun2,qing1,yan2)
绣花枕头 (xiu4,hua1,zhen3,tou2)
婢女 (bi4,nv3)
划子 (hua2,zi3)
女皇 (nv3,huang2)
一网尽扫 (yi1,wang3,jin4,sao3)
橱柜 (chu2,gui4)
竹杠 (zhu2,gang4)
长恨歌 (chang2,hen4,ge1)
不识之无 (bu4,shi2,zhi1,wu2)
通材达识 (tong1,cai2,da2,shi2)
数黄道黑 (shu3,huang2,dao4,hei1)
折子 (zhe2,zi3)
女监 (nv3,jian1)
日薄虞渊 (ri4,bao2,yu2,yuan1)
感激不尽 (gan3,ji1,bu4,jin4)
等差 (deng3,cha4)
评弹 (ping2,tan2)
女真 (nv3,zhen1)
思所逐之 (si1,suo3,zhu2,zhi1)
数不胜数 (shu3,bu4,sheng4,shu3)
败家子 (bai4,jia1,zi3)
长舌之妇 (chang2,she2,zhi1,fu4)
女眷 (nv3,juan4)
岁寒松柏 (sui4,han2,song1,bai3)
别处 (bie2,chu4)
不遗寸长 (bu4,yi2,cun4,chang2)
曾不惨然 (zeng1,bu4,can3,ran2)
弹丸黑子 (dan4,wan2,hei1,zi3)
揎拳捋袖 (xuan1,quan2,luo1,xiu4)
意识 (yi4,shi2)
穿着 (chuan1,zhe5)
没头苍蝇 (mei2,tou2,cang1,ying5)
拖儿带女 (tuo1,er2,dai4,nv3)
到处 (dao4,chu4)
倒春寒 (dao3,chun1,han2)
详尽 (xiang2,jin4)
禅门 (chan2,men2)
好管闲事 (hao3,guan3,xian2,shi4)
善刀而藏 (shan4,dao1,er2,cang2)
穷理尽性 (qiong2,li3,jin4,xing4)
牵牛织女 (qian1,niu2,zhi1,nv3)
暗绿稀红 (an4,lv4,xi1,hong2)
禅院 (chan2,yuan4)
指供 (zhi3,gong4)
西山日薄 (xi1,shan1,ri4,bao2)
王侯 (wang2,hou2)
情不自禁 (qing2,bu4,zi4,jin1)
扁柏 (bian3,bai3)
豁出 (huo1,chu1)
割切 (ge1,qie1)
卖富差贫 (mai4,fu4,cha4,pin2)
熟识 (shu2,shi2)
九鼎大吕 (jiu3,ding3,da4,lv3)
刨子 (bao4,zi3)
切当 (qie1,dang1)
说客 (shuo1,ke4)
女神 (nv3,shen2)
灯红酒绿 (deng1,hong2,jiu3,lv4)
裘弊金尽 (qiu2,bi4,jin1,jin4)
来者不善 (lai2,zhe3,bu4,shan4)
古道热肠 (gu3,dao4,re4,chang2)
潜踪隐迹 (qian2,zong1,yin3,ji4)
反朴归真 (fan3,pu3,gui1,zhen1)
分理处 (fen1,li3,chu4)
班禅额尔德尼 (ban1,chan2,e2,er3,de2,ni2)
寥寥可数 (liao2,liao2,ke3,shu3)
扎染 (za1,ran3)
红澄澄 (hong2,cheng2,cheng2)
识才 (shi2,cai2)
患难之交 (huan4,nan4,zhi1,jiao1)
劚玉如泥 (zhu2,yu4,ru2,ni2)
户枢不蠹 (hu4,shu1,bu4,du4)
抹子 (mo3,zi3)
谁家 (shui2,jia1)
女童 (nv3,tong2)
刷子 (shua1,zi3)
木干鸟栖 (mu4,gan1,niao3,qi1)
糠豆不赡 (kang1,dou4,bu4,shan4)
刀刀见血 (dao1,dao1,jian4,xie3)
学识渊博 (xue2,shi2,yuan1,bo2)
脱白挂绿 (tuo1,bai2,gua4,lv4)
长此以往 (chang2,ci3,yi3,wang3)
财殚力尽 (cai2,dan1,li4,jin4)
识时达务 (shi2,shi2,da2,wu4)
红情绿意 (hong2,qing2,lv4,yi4)
刮骨去毒 (gua1,gu3,qu4,du2)
刨工 (pao2,gong1)
裂冠毁冕 (lie4,guan4,hui3,mian3)
久安长治 (jiu3,an1,chang2,zhi4)
倩女离魂 (qian4,nv3,li2,hun2)
不切实际 (bu4,qie1,shi2,ji4)
挑刺 (tiao1,ci4)
啮臂之好 (nie4,bi4,zhi1,hao3)
挑剔 (tiao1,ti1)
抨弹 (peng1,tan2)
床头金尽 (chuang2,tou2,jin1,jin4)
奋臂 (fen4,bi4)
包藏祸心 (bao1,cang2,huo4,xin1)
痛不欲生 (tong4,bu4,yu4,sheng1)
豁嘴 (huo1,zui3)
樊笼 (fan2,long2)
飞鸿雪爪 (fei1,hong2,xue3,zhao3)
富埒王侯 (fu4,lie4,wang2,hou2)
一刹那 (yi1,cha4,na4)
调幅 (tiao2,fu2)
鸡虫得丧 (ji1,chong2,de2,sang4)
玩兴 (wan2,xing4)
划拉 (hua2,la1)
正切 (zheng4,qie1)
划拳 (hua2,quan2)
混为一谈 (hun4,wei2,yi1,tan2)
调弄 (tiao2,nong4)
兴会淋漓 (xing4,hui4,lin2,li2)
担担面 (dan4,dan5,mian4)
识时达变 (shi2,shi2,da2,bian4)
霜凋夏绿 (shuang1,diao1,xia4,lv4)
同一律 (tong2,yi1,lv4)
冷藏库 (leng3,cang2,ku4)
劲健 (jin4,jian4)
扬长而去 (yang2,chang2,er2,qu4)
自坏长城 (zi4,huai4,chang2,cheng2)
访查 (fang3,cha2)
加劲 (jia1,jin4)
芜荑 (wu2,yi2)
钻隙逾墙 (zuan1,xi4,yu2,qiang2)
为国捐躯 (wei4,guo2,juan1,qu1)
邪魔外祟 (xie2,mo2,wai5,sui4)
切断 (qie1,duan4)
瓮尽杯干 (weng4,jin4,bei1,gan1)
一差二悮 (yi1,cha4,er4,wu4)
舞爪张牙 (wu3,zhao3,zhang1,ya2)
调息 (tiao2,xi1)
旷夫怨女 (kuang4,fu1,yuan4,nv3)
骨骼 (gu3,ge2)
藏诸名山 (cang2,zhu1,ming2,shan1)
屯街塞巷 (tun2,jie1,sai1,xiang4)
抢掠 (qiang3,lve4)
骨髓 (gu3,sui3)
钻劲 (zuan1,jin4)
聱牙诘屈 (ao2,ya2,ji2,qu1)
潜意识 (qian2,yi4,shi2)
说长论短 (shuo1,chang2,lun4,duan3)
芫花 (yuan2,hua1)
宁缺毋滥 (ning4,que1,wu4,lan4)
相呴相济 (xiang1,xu3,xiang1,ji4)
挣命 (zheng4,ming4)
不屑一顾 (bu4,xie4,yi1,gu4)
抄查 (chao1,cha2)
朴斫之材 (pu3,zhuo2,zhi1,cai2)
天宝当年 (tian1,bao3,dang1,nian2)
劲力 (jin4,li4)
谢帖 (xie4,tie3)
骨结核 (gu3,jie2,he2)
夹衣 (jia2,yi1)
喏喏连声 (nuo4,nuo4,lian2,sheng1)
黄钟长弃 (huang2,zhong1,chang2,qi4)
夹被 (jia2,bei4)
骶骨 (di3,gu3)
模糊 (mo2,hu5)
迁善塞违 (qian1,shan4,sai1,wei2)
焦思苦虑 (jiao1,si1,ku3,lv4)
骸骨 (hai2,gu3)
骨鲠 (gu3,geng3)
玉女 (yu4,nv3)
血肉模糊 (xue4,rou4,mo2,hu5)
调护 (tiao2,hu4)
拶子 (zan3,zi3)
外合里差 (wai4,he2,li3,cha4)
干脆利索 (gan1,cui4,li4,suo3)
豁子 (huo1,zi3)
女色 (nv3,se4)
调拨 (tiao2,bo1)
火尽灰冷 (huo3,jin4,hui1,leng3)
丰肌弱骨 (feng1,ji1,ruo4,gu3)
十年九不遇 (shi2,nian2,jiu3,bu4,yu4)
长材茂学 (chang2,cai2,mao4,xue2)
龟文鸟迹 (gui1,wen2,niao3,ji4)
歌女 (ge1,nv3)
斩钉切铁 (zhan3,ding1,qie1,tie3)
调控 (tiao2,kong4)
禅世雕龙 (chan2,shi4,diao1,long2)
垂头塞耳 (chui2,tou2,sai1,er3)
不足齿数 (bu4,zu2,chi3,shu3)
挑夫 (tiao1,fu1)
狼飧虎咽 (lang2,sun1,hu3,yan4)
挑头 (tiao1,tou2)
询查 (xun2,cha2)
龙爪槐 (long2,zhao3,huai2)
绿肥红瘦 (lv4,fei2,hong2,shou4)
碌碌无奇 (lu4,lu4,wu2,qi2)
划桨 (hua2,jiang3)
齑身粉骨 (ji1,shen1,fen3,gu3)
调摄 (tiao2,she4)
发病率 (fa1,bing4,lv4)
攻城略地 (gong1,cheng2,lve4,di4)
长绳系景 (chang2,sheng2,xi4,jing3)
嗑牙料嘴 (ke1,ya2,liao4,zui3)
圆周率 (yuan2,zhou1,lv4)
失调 (shi1,tiao2)
角立杰出 (jiao3,li4,jie2,chu1)
其道亡繇 (qi2,dao4,wang2,yao2)
刨根儿 (pao2,gen1,er2)
说长话短 (shuo1,chang2,hua4,duan3)
道尽涂殚 (dao4,jin4,tu2,dan1)
王子 (wang2,zi3)
髋骨 (kuan1,gu3)
手爪 (shou3,zhao3)
驱虫剂 (qu1,chong2,ji4)
长臂猿 (chang2,bi4,yuan2)
髌骨 (bin4,gu3)
长计远虑 (chang2,ji4,yuan3,lv4)
骨肉至亲 (gu3,rou4,zhi4,qin1)
说服 (shuo1,fu2)
烹狗藏弓 (peng1,gou3,cang2,gong1)
调料 (tiao2,liao4)
抱子弄孙 (bao4,zi3,nong4,sun1)
妻离子散 (qi1,li2,zi3,san4)
画荻教子 (hua4,di2,jiao4,zi3)
一举两得 (yi1,ju3,liang3,de2)
干干净净 (gan1,gan1,jing4,jing4)
说长说短 (shuo1,chang2,shuo1,duan3)
抬杠 (tai2,gang4)
枯骨之馀 (ku1,gu3,zhi1,yu2)
山高水长 (shan1,gao1,shui3,chang2)
南瓜子 (nan2,gua1,zi3)
干戈载戢 (gan1,ge1,zai3,ji2)
撒丫子 (sa1,ya1,zi3)
金丹换骨 (jin1,dan1,huan4,gu3)
冠礼 (guan4,li3)
钻冰求火 (zuan1,bing1,qiu2,huo3)
谮下谩上 (zen4,xia4,man2,shang4)
把臂入林 (ba3,bi4,ru4,lin2)
价值规律 (jia4,zhi2,gui1,lv4)
神不收舍 (shen2,bu4,shou1,she3)
执迷不悟 (zhi2,mi2,bu4,wu4)
挡子 (dang3,zi3)
出生率 (chu1,sheng1,lv4)
调墨弄笔 (tiao2,mo4,nong4,bi3)
抽查 (chou1,cha2)
凤爪 (feng4,zhao3)
调档 (tiao2,dang4)
计穷虑尽 (ji4,qiong2,lv4,jin4)
刺柏 (ci4,bai3)
众口难调 (zhong4,kou3,nan2,tiao2)
识时通变 (shi2,shi2,tong1,bian4)
不识不知 (bu4,shi2,bu4,zhi1)
模式识别 (mo2,shi4,shi2,bie2)
力尽 (li4,jin4)
佛头着粪 (fo2,tou2,zhuo2,fen4)
梅妻鹤子 (mei2,qi1,he4,zi3)
磨豆腐 (mo2,dou4,fu3)
枝分缕解 (zhi1,fen1,lv3,jie3)
身微力薄 (shen1,wei1,li4,bao2)
女装 (nv3,zhuang1)
东差西误 (dong1,cha4,xi1,wu4)
女裤 (nv3,ku4)
载沉载浮 (zai4,chen2,zai4,fu2)
窖藏 (jiao4,cang2)
绝长补短 (jue2,chang2,bu3,duan3)
抽胎换骨 (chou1,tai1,huan4,gu3)
锁匙 (suo3,chi2)
赭衣塞路 (zhe3,yi1,se4,lu4)
长颈鸟喙 (chang2,jing3,niao3,hui4)
鼓吻奋爪 (gu3,wen3,fen4,zhao3)
担雪塞井 (dan1,xue3,sai1,jing3)
雪中鸿爪 (xue3,zhong1,hong2,zhao3)
骨软肉酥 (gu3,ruan3,rou4,su1)
膏粱子弟 (gao1,liang2,zi3,di4)
女角 (nv3,jiao3)
檀郎谢女 (tan2,lang2,xie4,nv3)
电势差 (dian4,shi4,cha4)
窝藏 (wo1,cang2)
校短推长 (xiao4,duan3,tui1,chang2)
妇女病 (fu4,nv3,bing4)
竹笼 (zhu2,long2)
白藋同心 (bai2,diao4,tong2,xin1)
原子核 (yuan2,zi3,he2)
切点 (qie1,dian3)
奇迹 (qi2,ji4)
遗簪堕履 (yi2,zan1,duo4,lv3)
识时务 (shi2,shi2,wu4)
主旋律 (zhu3,xuan2,lv4)
刻骨崩心 (ke4,gu3,beng1,xin1)
逸兴横飞 (yi4,xing4,heng2,fei1)
痴男怨女 (chi1,nan2,yuan4,nv3)
傲骨 (ao4,gu3)
存储 (cun2,chu3)
讫情尽意 (qi4,qing2,jin4,yi4)
愁多夜长 (chou2,duo1,ye4,chang2)
空调 (kong1,tiao2)
屡次三番 (lv3,ci4,san1,fan1)
调治 (tiao2,zhi4)
一字长城 (yi1,zi4,chang2,cheng2)
切片 (qie1,pian4)
含含糊糊 (han2,han2,hu5,hu1)
落差 (luo4,cha4)
十一月 (shi2,yi1,yue4)
殆尽 (dai4,jin4)
不计其数 (bu4,ji4,qi2,shu4)
千条万缕 (qian1,tiao2,wan4,lv3)
骨肉离散 (gu3,rou4,li2,san4)
明珠弹雀 (ming2,zhu1,tan2,que4)
动弹 (dong4,tan5)
执着 (zhi2,zhuo2)
拦柜 (lan2,gui4)
謷牙诘屈 (ao2,ya2,ji2,qu1)
公子王孙 (gong1,zi3,wang2,sun1)
挑拣 (tiao1,jian3)
女贞 (nv3,zhen1)
桑给巴尔 (sang1,gei3,ba1,er3)
话里藏阄 (hua4,li3,cang2,jiu1)
一口吸尽西江水 (yi1,kou3,xi1,jin4,xi1,jiang1,shui3)
击石弹丝 (ji1,shi2,tan2,si1)
电子游戏机 (dian4,zi3,you2,xi4,ji1)
搤臂啮指 (e4,bi4,nie4,zhi3)
焦唇干舌 (jiao1,chun2,gan1,she2)
调温 (tiao2,wen1)
子句 (zi3,ju4)
擿伏发奸 (ti1,fu2,fa1,jian1)
子叶 (zi3,ye4)
长安少年 (chang2,an1,shao4,nian2)
偎干就湿 (wei1,gan1,jiu4,shi1)
门衰祚薄 (men2,shuai1,zuo4,bao2)
骨瘦形销 (gu3,shou4,xing2,xiao1)
葱头 (cong1,tou2)
煨干就湿 (wei1,gan1,jiu4,shi1)
卖履分香 (mai4,lv3,fen1,xiang1)
鞭长驾远 (bian1,chang2,jia4,yuan3)
监市履狶 (jian1,shi4,lv3,xi1)
鞭长莫及 (bian1,chang2,mo4,ji2)
箪瓢屡空 (dan1,piao2,lv3,kong1)
蒙哄 (meng2,hong3)
长江三角洲 (chang2,jiang1,san1,jiao3,zhou1)
入行 (ru4,hang2)
